CMDLINE /opt/anaconda3/bin/python artificialneuralnetwork-profiling.py
MEM 0.187500 1739816266.7692
MEM 39.000000 1739816266.8745
MEM 54.843750 1739816266.9821
MEM 58.781250 1739816267.0837
MEM 69.062500 1739816267.1845
MEM 84.687500 1739816267.2895
MEM 93.328125 1739816267.3936
MEM 101.593750 1739816267.4989
MEM 107.015625 1739816267.6025
MEM 191.781250 1739816267.7077
MEM 318.937500 1739816267.8081
MEM 353.984375 1739816267.9107
MEM 396.359375 1739816268.0159
MEM 434.890625 1739816268.1181
MEM 290.046875 1739816268.2184
MEM 234.531250 1739816268.3236
MEM 249.812500 1739816268.4291
MEM 258.609375 1739816268.5314
MEM 270.437500 1739816268.6424
MEM 270.484375 1739816268.7448
MEM 275.906250 1739816268.8514
MEM 276.859375 1739816268.9528
MEM 282.562500 1739816269.0566
MEM 283.343750 1739816269.1577
MEM 283.343750 1739816269.2690
MEM 283.359375 1739816269.3744
MEM 283.375000 1739816269.4831
MEM 283.375000 1739816269.5910
MEM 283.968750 1739816269.7024
MEM 284.265625 1739816269.8079
MEM 284.265625 1739816269.9186
MEM 284.265625 1739816270.0280
MEM 284.265625 1739816270.1361
MEM 284.625000 1739816270.2413
MEM 290.578125 1739816270.3510
MEM 295.921875 1739816270.4570
MEM 295.921875 1739816270.5601
MEM 295.921875 1739816270.6615
MEM 295.937500 1739816270.7667
MEM 295.937500 1739816270.8720
MEM 295.937500 1739816270.9773
MEM 295.937500 1739816271.0830
MEM 295.937500 1739816271.1861
MEM 295.953125 1739816271.2930
MEM 295.953125 1739816271.4004
MEM 295.953125 1739816271.5057
MEM 295.953125 1739816271.6109
MEM 295.953125 1739816271.7149
MEM 295.953125 1739816271.8201
MEM 295.953125 1739816271.9313
MEM 295.953125 1739816272.0482
MEM 295.953125 1739816272.1507
MEM 295.953125 1739816272.2559
MEM 301.562500 1739816272.3612
MEM 301.562500 1739816272.4663
MEM 301.562500 1739816272.5750
MEM 301.562500 1739816272.6773
MEM 301.625000 1739816272.7821
MEM 301.625000 1739816272.8941
MEM 301.625000 1739816272.9947
MEM 301.625000 1739816273.1022
MEM 301.625000 1739816273.2057
MEM 301.625000 1739816273.3119
MEM 301.625000 1739816273.4190
MEM 301.875000 1739816273.5261
MEM 301.796875 1739816273.6329
MEM 301.718750 1739816273.7363
MEM 301.718750 1739816273.8490
MEM 301.718750 1739816273.9612
MEM 301.718750 1739816274.0700
MEM 301.671875 1739816274.1749
MEM 301.671875 1739816274.2854
MEM 301.671875 1739816274.3899
MEM 301.671875 1739816274.4993
MEM 301.671875 1739816274.6086
MEM 301.671875 1739816274.7142
MEM 301.671875 1739816274.8153
MEM 301.671875 1739816274.9271
MEM 301.671875 1739816275.0333
MEM 301.671875 1739816275.1386
MEM 301.671875 1739816275.2449
MEM 301.671875 1739816275.3497
MEM 301.671875 1739816275.4551
MEM 301.671875 1739816275.5619
MEM 301.578125 1739816275.6689
MEM 301.578125 1739816275.7734
MEM 301.578125 1739816275.8792
MEM 301.578125 1739816275.9843
MEM 301.578125 1739816276.0900
MEM 301.593750 1739816276.1989
MEM 298.828125 1739816276.3023
MEM 298.828125 1739816276.4106
MEM 298.828125 1739816276.5183
MEM 298.828125 1739816276.6287
MEM 298.828125 1739816276.7353
MEM 298.828125 1739816276.8380
MEM 298.828125 1739816276.9419
MEM 291.250000 1739816277.0506
MEM 291.250000 1739816277.1576
MEM 291.250000 1739816277.2637
MEM 291.250000 1739816277.3733
MEM 291.265625 1739816277.4797
MEM 291.265625 1739816277.5883
MEM 291.265625 1739816277.6937
MEM 291.203125 1739816277.8003
MEM 291.203125 1739816277.9069
MEM 291.203125 1739816278.0167
MEM 291.203125 1739816278.1248
MEM 291.203125 1739816278.2317
MEM 291.203125 1739816278.3371
MEM 291.203125 1739816278.4452
MEM 291.203125 1739816278.5503
MEM 278.343750 1739816278.6791
MEM 277.421875 1739816278.7866
MEM 277.421875 1739816278.8932
MEM 277.437500 1739816279.0026
MEM 277.437500 1739816279.1131
MEM 277.437500 1739816279.2188
MEM 277.437500 1739816279.3246
MEM 277.437500 1739816279.4315
MEM 277.437500 1739816279.5378
MEM 277.437500 1739816279.6445
MEM 277.437500 1739816279.7512
MEM 276.390625 1739816279.8566
MEM 276.390625 1739816279.9647
MEM 229.343750 1739816280.0838
MEM 234.312500 1739816280.1915
MEM 234.312500 1739816280.2924
MEM 234.390625 1739816280.3997
MEM 234.453125 1739816280.5099
MEM 234.453125 1739816280.6131
MEM 239.140625 1739816280.7243
MEM 239.140625 1739816280.8314
MEM 239.390625 1739816280.9366
MEM 245.062500 1739816281.0372
MEM 245.609375 1739816281.1426
MEM 250.375000 1739816281.2448
MEM 250.375000 1739816281.3496
MEM 250.531250 1739816281.4563
MEM 250.984375 1739816281.5620
MEM 250.984375 1739816281.6660
MEM 251.046875 1739816281.7664
MEM 251.046875 1739816281.8680
MEM 251.390625 1739816281.9768
MEM 251.390625 1739816282.0781
MEM 251.406250 1739816282.1815
MEM 251.406250 1739816282.2843
MEM 251.421875 1739816282.3883
MEM 251.890625 1739816282.4944
MEM 251.890625 1739816282.5998
MEM 256.703125 1739816282.7030
MEM 256.703125 1739816282.8079
MEM 257.140625 1739816282.9169
MEM 257.140625 1739816283.0274
MEM 257.140625 1739816283.1357
MEM 257.140625 1739816283.2363
MEM 257.140625 1739816283.3426
MEM 257.140625 1739816283.4491
MEM 257.140625 1739816283.5564
MEM 257.140625 1739816283.6659
MEM 257.171875 1739816283.7713
MEM 257.171875 1739816283.8796
MEM 257.187500 1739816283.9900
MEM 257.187500 1739816284.0943
MEM 257.187500 1739816284.1986
MEM 257.187500 1739816284.3038
MEM 257.187500 1739816284.4133
MEM 257.218750 1739816284.5178
MEM 257.218750 1739816284.6234
MEM 257.234375 1739816284.7289
MEM 257.234375 1739816284.8389
MEM 257.250000 1739816284.9429
MEM 257.265625 1739816285.0536
MEM 257.265625 1739816285.1601
MEM 257.265625 1739816285.3559
MEM 252.234375 1739816285.4592
MEM 252.234375 1739816285.5633
MEM 252.234375 1739816285.6681
MEM 252.234375 1739816285.7714
MEM 252.234375 1739816285.8767
MEM 252.234375 1739816285.9824
MEM 252.234375 1739816286.0881
MEM 252.234375 1739816286.1916
MEM 252.234375 1739816286.2987
MEM 252.234375 1739816286.4039
MEM 257.296875 1739816286.5104
MEM 257.375000 1739816286.6149
MEM 257.375000 1739816286.7227
MEM 257.656250 1739816286.8240
MEM 257.656250 1739816286.9340
MEM 257.625000 1739816287.0467
MEM 257.625000 1739816287.1515
MEM 257.625000 1739816287.2521
MEM 257.625000 1739816287.3533
MEM 257.625000 1739816287.4625
MEM 257.625000 1739816287.5669
MEM 239.843750 1739816287.6954
MEM 243.250000 1739816287.7989
MEM 243.640625 1739816287.9078
MEM 246.921875 1739816288.0110
MEM 246.921875 1739816288.1157
MEM 246.937500 1739816288.2204
MEM 246.937500 1739816288.3247
MEM 246.937500 1739816288.4314
MEM 246.937500 1739816288.5413
MEM 246.953125 1739816288.6549
MEM 242.859375 1739816288.7601
MEM 243.062500 1739816288.8675
MEM 244.328125 1739816288.9727
MEM 244.343750 1739816289.0797
MEM 246.453125 1739816289.1850
MEM 247.359375 1739816289.2890
MEM 252.234375 1739816289.3921
MEM 252.281250 1739816289.5018
MEM 252.281250 1739816289.6089
MEM 252.281250 1739816289.7152
MEM 252.281250 1739816289.8220
MEM 252.281250 1739816289.9356
MEM 252.281250 1739816290.0415
MEM 257.406250 1739816290.1493
MEM 257.406250 1739816290.2545
MEM 257.437500 1739816290.3575
MEM 257.796875 1739816290.4689
MEM 257.796875 1739816290.5738
MEM 257.828125 1739816290.6813
MEM 257.828125 1739816290.7910
MEM 257.828125 1739816290.8962
MEM 258.015625 1739816290.9990
MEM 258.015625 1739816291.1057
MEM 258.203125 1739816291.2106
MEM 258.203125 1739816291.3205
MEM 258.203125 1739816291.4262
MEM 258.203125 1739816291.5317
MEM 258.203125 1739816291.6358
MEM 258.203125 1739816291.7399
MEM 258.203125 1739816291.8453
MEM 252.968750 1739816291.9550
MEM 252.968750 1739816292.0679
MEM 252.968750 1739816292.1735
MEM 252.968750 1739816292.2780
MEM 252.968750 1739816292.3837
MEM 252.968750 1739816292.4958
MEM 252.968750 1739816292.6021
MEM 252.968750 1739816292.7133
MEM 252.968750 1739816292.8185
MEM 252.968750 1739816292.9257
MEM 252.968750 1739816293.0303
