FUNC __main__.predict 239.2500 1739816453.3606 239.4531 1739816453.3698 0
FUNC __main__.predict 271.3125 1739816453.7208 271.3281 1739816453.7265 0
FUNC __main__.predict 271.3750 1739816453.7287 271.3750 1739816453.7313 0
FUNC __main__.predict 271.3906 1739816453.7314 271.3906 1739816453.7369 0
FUNC __main__.predict 271.3906 1739816453.7370 271.4062 1739816453.7420 0
FUNC __main__.cost_function 214.4688 1739816453.3501 239.2344 1739816453.3605 0
FUNC __main__.cost_function 239.4531 1739816453.3699 244.9219 1739816453.3727 0
FUNC __main__.cost_function 270.5781 1739816453.5392 270.7500 1739816453.5545 0
FUNC __main__.cost_function 270.7812 1739816453.6265 271.0156 1739816453.6377 0
FUNC __main__.cost_function 271.2188 1739816453.7089 271.3125 1739816453.7208 0
FUNC __main__.cost_function 271.3281 1739816453.7266 271.3750 1739816453.7287 0
FUNC __main__.gradient 270.7500 1739816453.5546 270.7500 1739816453.6262 0
FUNC __main__.gradient 271.0156 1739816453.6378 271.0156 1739816453.7087 0
CMDLINE /opt/anaconda3/bin/python artificialneuralnetwork-profiling.py
MEM 0.187500 1739816451.8171
MEM 38.609375 1739816451.9179
MEM 60.765625 1739816452.0203
MEM 75.796875 1739816452.1275
MEM 84.875000 1739816452.2306
MEM 93.093750 1739816452.3357
MEM 98.875000 1739816452.4377
MEM 102.671875 1739816452.5449
MEM 146.625000 1739816452.6501
MEM 309.031250 1739816452.7553
MEM 350.046875 1739816452.8604
MEM 384.937500 1739816452.9620
MEM 423.921875 1739816453.0664
MEM 309.750000 1739816453.1715
MEM 235.890625 1739816453.2766
MEM 250.343750 1739816453.3807
MEM 258.953125 1739816453.4854
MEM 270.750000 1739816453.5903
MEM 271.015625 1739816453.6970
MEM 270.453125 1739816453.8008
